dataset,mode,ratio,rouge-1,rouge-2,rouge-l
xsum,h2o,0.01,0.079853,0.008729,0.071141
xsum,h2o,1.0,0.114713,0.010349,0.089252
xsum,h2o,0.6,0.114713,0.010349,0.089252
xsum,h2o,0.2,0.11211,0.008987,0.097436
xsum,h2o,0.4,0.114713,0.010349,0.089252
xsum,h2o,0.8,0.114713,0.010349,0.089252
xsum,full,1.0,0.114713,0.010349,0.089252
xsum,local,0.01,0.114713,0.010349,0.089252
xsum,local,1.0,0.114713,0.010349,0.089252
xsum,local,0.6,0.114713,0.010349,0.089252
xsum,local,0.2,0.114713,0.010349,0.089252
xsum,local,0.4,0.114713,0.010349,0.089252
xsum,local,0.8,0.114713,0.010349,0.089252
